id,unique,damon,emotion,length,characters,plots
"s4, ep1",1,1,6,0,5,1
"s4, ep2",2,1,4,1,6,1
"s4, ep3",3,1,5,1,10,0
"s4, ep4",4,0,3,0,4,0
"s4, ep5",5,0,4,1,6,0
"s4, ep6",6,1,5,1,6,1
"s4, ep7",7,0,6,0,9,1
"s4, ep8",8,1,5,1,7,1
"s4, ep9",9,1,7,1,8,1
"s4, ep10",10,0,4,0,8,0
"s4, ep11",11,0,5,0,10,0
"s4, ep12",12,0,6,1,8,1
"s4, ep13",13,1,6,0,9,0
"s4, ep14",14,1,8,0,6,1
"s4, ep15",15,1,10,1,5,1
"s4, ep16",16,1,8,0,7,0
"s4, ep17",17,0,6,0,10,0
"s4, ep18",18,0,5,1,12,0
"s4, ep19",19,1,4,1,8,0
"s4, ep20",20,1,6,1,13,1
"s4, ep21",21,0,7,1,9,0
"s4, ep22",22,1,8,1,12,1
"s4, ep23",23,1,9,1,17,1
"s5, ep1",24,0,6,1,8,1
"s5, ep2",25,1,6,0,6,0
"s5, ep3",26,1,8,1,12,0
"s5, ep4",27,1,7,0,6,0
"s5, ep5",28,0,5,0,13,0
"s5, ep6",29,0,7,1,16,1
"s5, ep7",30,1,4,0,11,1
"s5, ep8",31,0,5,0,8,1
"s5, ep9",32,1,6,0,7,1
"s5, ep10",33,1,4,0,9,0
"s5, ep11",34,0,9,0,14,1
"s5, ep12",35,0,7,0,16,0
"s5, ep13",36,0,6,0,12,0
"s5, ep14",37,1,5,0,9,1
"s5, ep15",38,1,4,0,7,1
"s5, ep16",39,1,6,0,10,0
"s5, ep17",40,0,5,1,8,0
"s5, ep18",41,0,4,0,6,0
"s5, ep19",42,0,7,1,13,1
"s5, ep20",43,1,6,1,13,1
"s5, ep21",44,1,9,1,10,1
"s5, ep22",45,1,10,0,15,1